isbn,book_title,author,genre,publisher,price,rating,copies_sold
893155163-0,"Prophet, A (Un Prophète)",Jose Gatehouse,Romance,Feedmix,35.18,3.8,2120016
511511956-0,Dollman,Dalt Spore,Historical,Thoughtstorm,24.87,0.6,16836454
973366176-7,Trapped in the Closet: Chapters 1-12,Victor Maharg,Historical,Skaboo,8.08,1.8,12390280
735352413-8,Keyhole,Raviv Felce,Romance,Yoveo,47.47,2,6467120
678985447-9,Vampire Journals,Bryce Daubeny,Thriller,Photobean,2.2,4.5,13800803
943974851-6,Diamonds,Cassandre Kurton,Romance,Digitube,42.98,4.7,10704797
513811492-1,Favorite Deadly Sins,Johann Teaser,Science Fiction,Twiyo,28.36,2.8,1292799
001375717-2,Let It Ride,Garrek Lorent,Fantasy,Pixoboo,38.89,1.3,17772668
992105759-6,The Face of Love,Baxy Santer,Fantasy,Aimbu,48.61,3.1,5564237
832809815-6,"Mouse That Roared, The",Benita Junkison,Science Fiction,Skajo,31.66,5,8951678
836925333-4,Pelicanman (Pelikaanimies),Codie Axford,Nonfiction,Bluezoom,35.81,1.6,3779749
837287886-2,Tempest,Tommie Ceaplen,Romance,Aibox,3.3,2.2,8774497
778064305-0,Ingenious,Terence Byrnes,Romance,Plambee,18.46,1.5,4865584
309133190-3,Under the Skin of the City (Zir-e-poost-e Shahr),Rik O' Mullan,Thriller,Skipfire,27.07,3.7,767169
908817443-1,Exorcismus,Tamarra McCurdy,Mystery,Trunyx,29.16,3,19587274
290489213-3,"Caretakers, The",Elmore Toderbrugge,Thriller,Buzzster,46.2,3.7,8394522
368396617-3,Help! I'm A Fish,Nichols Ince,Thriller,Camido,48.76,2.1,4022990
742404661-6,Three Little Words,Barth Gwyn,Thriller,Zoonoodle,8.89,3.3,9584017
661389981-X,Belphecor: Curse of the Mummy (Belphégor - Le fantôme du Louvre),Vanni Foyston,Thriller,Zoomlounge,27.77,0,15191064
415458313-1,Up the Yangtze,Jedd Itzkovich,Mystery,Rooxo,9.73,1,11195002
516145929-8,The Boogens,Shelden Aylward,Thriller,Browseblab,23.1,0.9,7016162
401698181-6,Torch Song Trilogy,Robenia Chatin,Science Fiction,Edgepulse,31.44,4.7,3146463
413221331-5,Matti: Hell Is for Heroes (Matti),Nerita Sterzaker,Romance,Zoomzone,16.49,1.6,9206131
551307108-8,Maverick,Darby Lotterington,Romance,Mynte,6.96,0.8,8347600
527848274-5,C.H.U.D.,Bucky Roughley,Nonfiction,Flashset,49.99,4.3,11662346
571483797-5,We Won't Grow Old Together (Nous ne vieillirons pas ensemble),Nert Flori,Nonfiction,Mudo,7.43,2.9,18382045
179046189-8,May in the Summer,Briana Millbank,Science Fiction,LiveZ,5.92,0.9,13967011
885751656-3,Denise Calls Up,Marilin Coates,Romance,Voolith,12,2.1,10603933
555280488-0,Adult Camp,Lisa Fairman,Nonfiction,Yozio,9.84,4.7,11226429
701537585-0,Passion of Mind,Merrel Tweddle,Science Fiction,Pixope,49.06,4.2,9270598
254496421-9,Transamerica,Jacki Theodore,Science Fiction,Skipfire,14.36,0.3,6802138
554392447-X,Last Cowboy Standing (Skavabölen pojat),Lyndell Fishleigh,Nonfiction,Myworks,46.84,1.4,3092179
419551003-1,"Shock Doctrine, The",Isacco Castenda,Historical,Flashdog,47.19,2.9,14934231
825362146-9,"Last Godfather, The",Bunni Bendig,Fantasy,Demimbu,37.62,4,1960456
330235935-7,Fortress,Catarina Troak,Fantasy,Chatterbridge,35.94,2.5,8582999
524212898-4,Belarmino,Retha Boseley,Science Fiction,Rhybox,48.4,0.8,4284178
177288564-9,Thinner,Gayler Chilton,Nonfiction,Camido,47.62,3.7,15076558
762287265-2,Conquest,Izabel Mundow,Science Fiction,Katz,23.56,0.3,14460280
840747346-4,Chasing Liberty,Lyndsey Suttill,Romance,Dabfeed,3.89,0.3,3723698
187144304-0,Pure Luck,Ennis Greathead,Mystery,Yozio,7.87,3.4,14841991
634390378-X,"Proprietor, The",Lesli Blaver,Fantasy,Jabberbean,38.31,2.1,18595159
111103244-0,Missile to the Moon,Margy Arnow,Romance,Jetpulse,43.53,3.4,2088754
886387071-3,"Good Time Girls, The (Bonnes femmes, Les)",Urban MacDunlevy,Mystery,Blogspan,24.48,4.5,4643239
285567929-X,"Year of the Hare, The (Jäniksen vuosi)",Tulley Chavez,Fantasy,Gabtune,12.05,2.1,941432
672205029-7,Attack from Space,Tiebout Seyler,Science Fiction,Jabbersphere,2.42,0.1,1693999
426733315-7,Chinese Zodiac (Armour of God III) (CZ12),Norry Roy,Historical,Twitterbridge,36.47,2,1896831
233910138-7,"Way, The",Enrichetta Capron,Thriller,Realbuzz,32.81,3.7,17427762
044108530-X,Rollercoaster,Harrison Sivewright,Mystery,Flashset,15.07,4.6,6326083
930135678-3,Faces in the Crowd,Erminia Foulcher,Mystery,Minyx,15.35,2.5,4373096
887853622-9,Crawlspace,Derward Bleckly,Mystery,Dabfeed,12,4,14620846
385517880-1,"Phantom Carriage, The (Körkarlen)",Ondrea Grigs,Science Fiction,Yozio,40.19,4.2,12734092
324280431-7,"Yards, The",Lonny Tims,Nonfiction,Photojam,45.85,0.1,802487
050211749-4,Sleep with Me,Ethelin Merrisson,Nonfiction,Twimbo,13.03,0.6,14276001
195460538-2,Emma,Mariana Cape,Fantasy,Gabvine,3.27,2.7,891447
237249031-1,Don Q Son of Zorro,Desmond Eyers,Mystery,Riffpedia,28.41,4.6,7484272
004766276-X,Mirror Mirror,Valery Drought,Mystery,Tanoodle,35.43,2.3,8524600
729999078-4,Shirin,Dew Garnsey,Romance,Skinder,22.86,0.8,13271298
573653778-8,Comic Book Confidential,Abramo Ringsell,Romance,Kayveo,6.81,2.3,11430250
644807208-X,Monument Ave.,Putnem Hayley,Fantasy,Meemm,34.18,1.7,11937980
312364669-6,"Walking Dead, The",Corrina Schlagman,Science Fiction,Quaxo,37.82,3.9,11252398
440539498-9,12th & Delaware,Archy Dilkes,Thriller,Livefish,12.02,0.3,17719705
344565390-9,Criminals,Oona Aindrais,Historical,Tagchat,17.79,0.8,9434412
679778898-6,Head,Abbey Brittlebank,Fantasy,Chatterpoint,34.24,1.1,4339292
906675930-5,"Tortured, The",Reed Rowly,Mystery,Photobug,35.38,3.2,16963204
169228052-X,"Love Bug, The",Hendrik Artois,Thriller,Mynte,4.5,2.4,13721481
711772753-5,Brannigan,Cybill Quye,Fantasy,Jaxworks,13.42,1.5,16175139
554811798-X,Nanayo (Nanayomachi),Wilie Jacson,Thriller,Twitterworks,3.28,3,501734
841338694-2,"Rapture, The",Krispin Bauman,Historical,Skipstorm,30.52,3.7,13245174
018109530-0,Red Psalm (Még kér a nép),Perl Tilzey,Romance,Zava,22.32,3,12876234
893529701-1,Tinpis Run,Guendolen Ference,Thriller,Jaxspan,7.26,3.3,19443915
628628034-0,Dark Skies,Dalis Prewer,Nonfiction,Aibox,41.63,2.3,15473517
296219312-9,Windtalkers,Sandra Purdon,Romance,Skilith,30.74,4.5,18797370
060159580-7,Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),Vinson Luckie,Science Fiction,Trudoo,6.18,1.7,1996622
055752909-3,"Grandfather, The (Abuelo, El)",Willard Suggitt,Historical,Youtags,47.8,2,14257022
517773761-6,"Faraway, So Close (In weiter Ferne, so nah!)",Morton Johnes,Romance,Thoughtbeat,11.38,4.7,13282302
765659607-0,Fist of Legend (Jing wu ying xiong),Rossie Wilbud,Thriller,Thoughtmix,1.08,1.1,19142073
974845990-X,Tarantula,Dew Ibbitt,Historical,Bluejam,1.86,4.1,6634390
763376589-5,G@me,Murdock Swine,Romance,Pixonyx,33.26,1.5,8397164
785289274-4,Rent-a-Kid,Benjy Barthot,Romance,Twitternation,13.29,4.8,1368660
475087786-7,Paranoia Agent,Odette Rizziello,Nonfiction,Quinu,38.94,2.9,11357331
566822259-4,Impulse,Roddie Skene,Historical,Topicshots,44.59,2.7,16412457
418582418-1,It Happens Every Spring,Tessa Pember,Science Fiction,Wordify,46.36,0.8,1574599
626711956-4,Ride,Augustina Hollow,Historical,Realbuzz,17.52,3.8,1399414
375261562-1,Bollywood/Hollywood,Britt Withnall,Historical,Skinte,47.63,4.1,13805762
522570607-X,"Je, tu, il, elle (I, You, He, She)",Christoforo Keaves,Mystery,Dabfeed,10.04,4.7,13922619
077588611-4,Crockdale,Maxie Letherbury,Historical,BlogXS,3.48,4.2,708752
709821870-7,El asombroso mundo de Borjamari y Pocholo,Urbain Huie,Nonfiction,Oyoba,22.09,1.1,10994650
401432637-3,Subspecies,Pren Talkington,Mystery,Yombu,12.61,4.8,10020447
016521265-9,"Angel Named Billy, An",Rebeka Bengoechea,Romance,Agivu,6.19,0.7,10121163
951571162-2,Riding Alone for Thousands of Miles (Qian li zou dan qi),Josselyn Yanshin,Thriller,Browsetype,22.03,3.7,16855518
730132159-7,Coming to America,Allsun Bainbrigge,Romance,Yakidoo,49.58,3.7,10056878
803813138-X,Virus X,Dorry Nern,Fantasy,Jabbertype,8.67,0.2,5763732
219936462-3,"Sea Wolves, The",Tull Worsnup,Nonfiction,Skimia,32.83,0.5,4964321
665521575-7,The Do-Deca-Pentathlon,Brodie Toffel,Nonfiction,Twitterworks,13.72,4.1,8620821
058204100-7,"Funny Man, A (Dirch)",Valli Ninnis,Thriller,Wordtune,19.16,4,16062212
232194000-X,"Preacher, The (De dominee)",Roselia Iffe,Fantasy,Edgeblab,48.41,1.7,4290135
500718418-7,"Forger, The",Ambros Jehu,Fantasy,Agimba,29.17,3.7,5257910
827369986-2,Girls Town,Jillayne Castel,Mystery,Ntag,40.2,3.5,16964790
163767003-6,Zombie Honeymoon,Hubey Jahndel,Historical,Rhyloo,16.35,4.4,17990152
465673780-1,"Phantom, The",Bartholomeus Holdron,Romance,Livepath,26.7,1.3,4991998
247114737-2,Penguin Pool Murder,Jocelyn Pauletto,Romance,Meeveo,11.48,4.3,11176280
747446449-7,"Facts of Life, The",Nataniel Cundict,Thriller,Photospace,1.17,3.7,14591768
722717782-3,"Flaw, The",Cymbre Guillart,Mystery,Livetube,14.67,1.9,6603028
420292310-3,"Good Job:  Stories of the FDNY, A",Dallis Veldman,Nonfiction,Rhyloo,12.74,2.4,552621
286947974-3,The Wind in the Willows,Marcelline Hullett,Fantasy,Fivechat,4.13,3.7,14231237
904992074-8,P.S. Your Cat is Dead,Marion Le Strange,Fantasy,Linkbuzz,28.88,3.9,13449037
897847400-4,Traitor,Weylin Brandel,Mystery,Skynoodle,37.06,4.6,3377401
101464441-0,Lucky Number Slevin,Ginnie Mussolini,Thriller,Npath,1.04,0,14847825
140747762-5,Malice in Wonderland,Maridel Ebenezer,Science Fiction,Jaxworks,18.02,2,7850706
525668171-0,Soul Survivors (a.k.a. The Killer Cut),Austin Colliver,Nonfiction,Skynoodle,46.66,2.7,9385584
442202018-8,"Great Passage, The (Fune wo amu)",Edee Dunsleve,Science Fiction,Shuffledrive,27.96,1.3,12079152
539242053-2,Ingrid,Poppy Jerke,Mystery,Meevee,2.27,3.2,15585780
795240888-7,"Inheritance, The (Karami-ai)",Alika Claremont,Romance,Skinder,44.98,3.2,18346588
795737016-0,Drew: The Man Behind the Poster,Stanislaus Lorenzetto,Mystery,Realcube,25.79,2.3,10248759
429405681-9,Airplane!,Elisabetta de'-Ancy Willis,Science Fiction,Ozu,3.32,1.8,18412050
414640011-2,Exit,Engelbert Pavlasek,Thriller,Voolith,10.75,4.1,12817182
375168609-6,Before I Disappear,Boonie Venturoli,Science Fiction,Twitterlist,29.99,4.9,19753167
245238413-5,"Armwrestler From Solitude, The (Armbryterskan från Ensamheten)",Terza Esby,Mystery,Meevee,26.45,4.3,18750123
062796375-7,Buffalo Soldiers,Rusty Gorger,Historical,Livefish,18.47,3.2,8630949
719042391-5,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La)",Chadd Frake,Science Fiction,Shuffledrive,8.12,2.5,18894492
652259981-3,"Agony and the Ecstasy, The",Harriot Lowdiane,Science Fiction,Ailane,39.03,0.8,15521141
310384529-4,"King Is Dead!, The",Aube Brazener,Historical,Demizz,48.95,0.6,6813602
959193850-0,Undisputed III: Redemption,Dyan Olenikov,Science Fiction,Janyx,32.75,2.6,9538691
735968887-6,If....,Mordy Hampshaw,Romance,Jabberbean,16.38,4.4,1909591
087803773-X,"Night in Old Mexico, A",Kylila Tratton,Fantasy,Twitterbeat,35.05,4.3,11997273
438748459-4,"Red Shoes, The",Ulrick Chomicz,Fantasy,Fanoodle,37.46,4.1,1126596
098839042-6,Sudden Death,Jed Cowpe,Romance,Jabberbean,48.01,2.8,7108878
473477762-4,They Won't Believe Me,Mead McNay,Nonfiction,Vinder,13.1,1.4,11593910
774887309-7,Future Cops (Chao ji xue xiao ba wang),Myrtice Ruprechter,Mystery,Cogidoo,3.03,3.1,18934846
319807826-1,The Boss,Maury Eynaud,Science Fiction,Tagcat,47.76,4.3,17517527
581630622-7,I Think We're Alone Now,Andrei Tyres,Historical,Talane,25.68,4.1,3190172
598667023-X,Mindwalk,Wandis Puleston,Science Fiction,Brainlounge,23.96,1.8,18320900
301318845-6,Staggered,Janella Trulock,Thriller,Jamia,37.38,4.2,12173229
066016797-2,Buddy,Ronny Sabatier,Mystery,Digitube,34.75,0.6,3519564
002585872-6,Puppet Master,Jeffie Ferrini,Romance,Twimm,49.69,2.7,16988003
670584076-5,Like Dandelion Dust,Dania Mitten,Mystery,Oyoyo,35.48,1.3,12455492
519384605-X,"Prophet, A (Un Prophète)",Blithe Isherwood,Fantasy,Meejo,21.1,0.5,4710108
842987526-3,"Lonely Passion of Judith Hearne, The",Cecilla Lintot,Science Fiction,Realcube,12.23,1,15426539
682490685-9,"Caddy, The",Loydie Pawlowicz,Fantasy,Yadel,18.82,3,7217002
197905489-4,The Stranger's Return,Murvyn Ovendon,Thriller,Chatterpoint,8.03,0.5,19843937
889306240-2,"Dangerous Man, A",King Sorrill,Science Fiction,Oba,46.2,1.9,18759278
466679079-9,On Earth as It Is in Heaven (Así en el cielo como en la tierra),Shannan Munks,Nonfiction,Devpulse,25.74,1.8,2532661
211138977-3,Willy Wonka & the Chocolate Factory,Claudian Pontefract,Romance,Rhynyx,16.27,0.5,2709720
000295976-3,"Mystery of the Third Planet, The (Tayna tretey planety)",Lark Coppen,Historical,Gevee,26.75,2.8,9917287
797804845-4,"Suicide Shop, The (Le magasin des suicides) ",Kelcie Gregoratti,Mystery,Realblab,2.7,4.4,14592251
533716747-2,City Zero,Jackie Hinckesman,Nonfiction,Babbleopia,40.52,3.9,3537784
341270245-5,Top Five,Mitch Golson,Mystery,Youspan,37.55,1.3,16340529
340928868-6,"Calling, The",Stacy Strike,Science Fiction,Midel,47.87,2.4,13743622
112751159-9,Don't Bother to Knock,Curcio McCoid,Romance,Youtags,34.67,0.9,11152520
092225010-3,Sex & the Other Man,Reamonn Thomas,Romance,Flashspan,26.69,1.6,16908220
553021254-9,Big Man Japan (Dai-Nihonjin),Livvie Illiston,Mystery,Eire,29.52,3.2,11954744
522113279-6,Francis,Catharine Hryniewicki,Science Fiction,Eare,44.21,4.3,15184523
987584697-X,Girlhood,Puff Barrasse,Mystery,Voomm,15.37,4.4,14329195
793648572-4,Being Cyrus,Sophronia Sutch,Mystery,Leexo,17.54,3.8,4615789
137939097-4,Metropia,Forest Mackin,Fantasy,Voomm,37.02,0.2,7500447
981354145-8,Joe,Pernell Sugg,Nonfiction,Meevee,41.8,4.4,3191738
779838198-8,How to Be a Player,Dino Santello,Science Fiction,Fivebridge,48.99,4.4,14285343
429992303-0,Standard Operating Procedure,Stefa Ziemsen,Fantasy,Jaxworks,31.04,3.5,1313077
510775760-X,Gloriously Wasted,Aldis Playfoot,Fantasy,Vitz,48.68,2.2,11678451
199898561-X,The Forbidden Room,Cyndia Doerrling,Mystery,Feedspan,5.97,0.7,17195562
402477063-2,"Tale of Springtime, A (Conte de Printemps)",Martita Paolazzi,Nonfiction,Feedspan,5.61,0.3,7138968
040587956-3,Slipstream,Meggy Barratt,Nonfiction,Rooxo,47.41,1.4,7407608
674996091-X,Elephant Boy,Hal Damrel,Nonfiction,Centizu,18.54,3.3,5007447
851302056-7,Genevieve,Pier Bartels-Ellis,Nonfiction,Gigabox,49.87,4.1,6039955
591846810-2,"Idolmaker, The",Junette Wyre,Historical,Meembee,47.63,0.7,5395767
966636474-3,The Boss,Emlyn Szymanek,Fantasy,Photobug,2.82,1.3,15907880
966796367-5,Crocodile (Ag-o),Robbin Zealy,Historical,Babbleblab,29.38,3.4,5973692
421792818-1,Dredd,Jo Shelmerdine,Thriller,Mynte,41.62,4.4,9143138
406490299-8,Bells of Capistrano,Lancelot Shorto,Fantasy,Roodel,11.64,3.7,18544067
142847013-1,Super Size Me,Audry Longstreeth,Romance,Dabvine,12.59,3.8,2661125
270833003-9,"Rising Place, The",Ashli Amey,Romance,Tagopia,39.53,3.2,17980426
452889236-7,Martyrs,Martino Stellin,Thriller,Skaboo,19.94,3.7,2369698
509154579-4,Things Behind the Sun,Mechelle Dillingham,Fantasy,Roodel,48.06,0.2,7417721
013667228-0,They Came to Cordura,Jarrod Ralling,Thriller,Fiveclub,22.19,1.4,5431370
503519831-6,Frenchmen 2,Jeremias Rabbitt,Science Fiction,Yombu,4.71,1.5,14477804
705418453-X,Everything About Mustafa (Mustafa hakkinda hersey),Elissa O'Hartnett,Fantasy,Linklinks,15.98,3.5,15191865
525575158-8,Murder on a Sunday Morning (Un coupable idéal),Dolph Cisco,Science Fiction,Ntags,24.8,4.1,7334812
656928140-2,Santa Claus Is a Stinker (Le Père Noël est une ordure),Dulci Clampin,Fantasy,Devpulse,46.18,0.7,3063788
029277377-3,Border Incident,Immanuel Kopta,Mystery,Eabox,27.03,2.7,11903886
884813819-5,Fat Kid Rules the World,Rosaleen Rotte,Thriller,Tekfly,45.49,4.7,14260215
624234502-1,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha),Barry Prest,Fantasy,Meevee,14.31,4.3,18774582
030058361-3,"Armwrestler From Solitude, The (Armbryterskan från Ensamheten)",Kris Anand,Romance,Mydo,18.98,2.5,13974547
294364769-1,Living with Wolves,Mohammed Arrington,Science Fiction,Dabvine,36.59,4.2,1438914
205471054-7,"Stone Left Unturned, A (Kovat miehet)",Reilly Stean,Historical,Skinder,16.58,3.5,19521387
704867494-6,Orderers (Les ordres),Manda Flucks,Mystery,Linkbuzz,11.12,1.3,13321693
751503002-X,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea),Janaya Merali,Fantasy,Photojam,12.74,4,2461814
125225696-5,Wild Strawberries (Smultronstället),Beryle Eadmeades,Science Fiction,Geba,17.65,1.6,16993558
985362795-7,Exam,Ronny Margerrison,Romance,Tagchat,33.49,0.1,7433599
722107335-X,Under the Volcano,Gregorius Guilder,Romance,Thoughtsphere,15.16,0.2,9251908
686429023-9,"Children of the Century, The (Enfants du siècle, Les)",Kleon East,Mystery,Brainsphere,12.2,4.4,13453213
542642844-1,Telling You,Franky Gleeson,Thriller,Kazu,20.06,3.3,576528
394845571-6,"Young Black Stallion, The",Alidia Blackstone,Nonfiction,Flashspan,11.16,4.6,18312475
201065176-6,Jim Breuer: And Laughter for All,Loralyn Burborough,Thriller,JumpXS,16.75,2,15185909
263987791-7,Planes: Fire & Rescue,Mag Coull,Science Fiction,Zoomzone,8.79,2.1,16417698
876357078-5,And So It Goes,Allen Emsley,Romance,Tagpad,30.12,0.1,4748262
551242699-0,Touch of Pink,Jourdan O'Ruane,Fantasy,Tambee,12.53,2.1,8145334
196964199-1,Dark Water (Honogurai mizu no soko kara),Dorolice Haycraft,Nonfiction,Rhynyx,17.61,0.8,18439875
660214897-4,"Chorus Line, A",Ottilie Bernardos,Historical,Zoomdog,3.2,3.2,17451011
463509700-5,Legal Deceit,Alys Ander,Mystery,Kimia,38.08,2.9,3432299
509995900-8,Odd Girl Out,Waiter Lukianov,Science Fiction,Browseblab,27.24,4.3,1153481
675001389-9,Morning for the Osone Family,Flore Jellyman,Romance,Vitz,10.71,4.4,403981
774690335-5,The Studio Murder Mystery,Melvyn Woodlands,Thriller,Topiclounge,23.17,1.2,10099230
387149346-5,Such Hawks Such Hounds,Corabel O'Hartnett,Fantasy,Jazzy,25.52,2,17566743
558394698-9,Carriers,Scot Monan,Nonfiction,Oyonder,30.97,3.4,11066018
136721520-X,"Goat, The (a.k.a. Knock On Wood) (Chèvre, La)",Brianna Dunford,Mystery,Eayo,49.78,2.9,11785285
936964345-1,Eden Log,Harriet Davidovich,Mystery,Jazzy,32.41,4.1,12893908
946064514-3,"""Great Performances"" Cats",Sasha McCrackem,Fantasy,Skibox,37.57,3.3,15364634
065384741-6,Adam,Orazio Damiral,Mystery,Photolist,11.05,2.9,8530432
325504820-6,Me Without You,Elijah Exall,Historical,Twinder,48.23,4.1,5280665
436377192-5,Films to Keep You Awake: The Christmas Tale (Películas para no dormir: Cuento de navidad),Shalne Vlasov,Mystery,Twiyo,12.72,4.2,2303068
193645972-8,Snake-Crane Secret (She hao dan xin zhen jiu zhou),Quinlan Footitt,Science Fiction,Camimbo,21.46,4.1,13746117
842106683-8,"Intruder, The (L'intrus)",Kenyon Finnan,Thriller,BlogXS,10.96,2.1,14431135
301794605-3,Bomber,Stern Kenen,Romance,Jatri,6.58,4.7,18265976
229997280-3,Mimic: Sentinel,Emmalyn Barwis,Nonfiction,Gigazoom,14.54,2.2,15761948
851714846-0,"Night, The (Notte, La)",Mort Norwich,Historical,Feedbug,45.25,1.9,8016133
540513630-1,New World (Shin-sae-gye),Leena Hauxley,Fantasy,Kwilith,25.12,3.9,11307485
051524192-X,Home Movie,Camey Cuttin,Science Fiction,Pixope,22.25,4.1,18570263
364273571-1,10 Rillington Place,Tiffi Petrello,Historical,Trudeo,4.83,1.8,19124079
380391217-2,Asylum,Brandice Mansfield,Thriller,Mycat,8.26,0.5,6930907
347692392-4,"Dead Times (Temps morts, Les)",Othilie Dwelly,Thriller,Blogspan,21.51,0.5,11865882
118201505-0,Paradise Road,Ruprecht Britland,Science Fiction,Leexo,30.85,0.2,14659336
782596206-0,State of Grace,Nealson Deeman,Mystery,Flashspan,8.37,0.3,18273658
311074939-4,Set It Off,Travers Swindlehurst,Thriller,Tanoodle,3.66,3.8,14541081
286288278-X,Nowhere to Hide (Injeong sajeong bol geot eobtda),Natale Kerrey,Fantasy,Vinte,28.57,0.6,2376938
591018533-0,"Terror Beneath the Sea, The (Kaitei daisensô)",Ethelyn Malacrida,Science Fiction,Fanoodle,7.45,3.1,16670181
578522456-9,South Pacific,Horatia Haggeth,Mystery,Fiveclub,15.1,4.1,7372963
302631367-X,Ten Tall Men,Francisco Airey,Science Fiction,Leexo,16.05,2.6,1517613
572529247-9,Lady for a Day,Merell Kristoffersson,Historical,Flashset,45.94,4.2,6735032
022433657-6,"Kiss Before Dying, A",Alberto Dallimare,Historical,Plajo,14.56,3.4,7786606
734101183-1,Against the Current,Kati Tithecott,Thriller,Divanoodle,8.42,0.6,19213130
280379092-0,Junior Bonner,Carri Commin,Historical,Plajo,32.13,1.5,14924399
447813829-X,That's Entertainment! III,Dacy Findley,Thriller,Janyx,34.19,2.5,4316686
174225351-2,Crime and Punishment,Aksel Torricella,Romance,Blogspan,20.21,0.1,4718215
111198703-3,I'll Follow You Down,Petrina Quemby,Historical,Linktype,26.09,1.5,12715179
354795850-4,Poison Ivy II,Christal Medcalfe,Mystery,Twimm,8.61,0.1,6297360
236240148-0,"File on Thelma Jordan, The",Artus Beades,Romance,Youtags,14.12,2.1,16996515
558288234-0,Death Before Dishonor,Georgy Croxall,Romance,Twimbo,8.49,2.3,16393569
429887089-8,"Concert for George, The",Erinn Yeudall,Mystery,Browsebug,40.29,2.9,3798720
460637192-7,Sinister,Benoit Massie,Science Fiction,Tazz,10.75,0.8,4816936
930266669-7,Superstar Goofy,Sibby Maypother,Science Fiction,Jayo,14.6,4.9,9822894
813509756-5,Shall We Dance? (Shall We Dansu?),Ogdon Stow,Historical,Npath,49.86,1.5,14769754
264554892-X,"Narrow Margin, The",Daniele Allred,Romance,Youspan,9.47,4.8,9382679
986171983-0,"Man from Utah, The",Rudiger Leathlay,Nonfiction,Kaymbo,43.92,2.8,2775860
780144117-6,Even Money,Nikki Philpotts,Fantasy,Eayo,47.95,3.9,11109311
779582273-8,Mail Order Bride,Ruthanne Kubista,Science Fiction,Roodel,32.13,3.3,19482858
001584427-7,"Virginity Hit, The",Sheppard Eynaud,Fantasy,Devshare,9.97,3.5,14717721
998360335-7,Needing You... (Goo naam gwa neui),Abbey Wadwell,Romance,Feednation,2.47,1,8751427
924115347-4,Night of the Living Dead,Madalyn Carus,Historical,Aimbo,23.74,5,317027
395865294-8,Lady Snowblood (Shurayukihime),Addie Keightley,Mystery,Livetube,26.45,4.5,12712572
680108345-7,Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale),Hebert Linacre,Nonfiction,Jamia,6.94,3.2,17335713
145836975-7,Hairspray,Agnesse Pach,Fantasy,Yambee,38.63,2.9,14450812
553374558-0,Nutty Professor II: The Klumps,Siouxie Kolinsky,Romance,Realcube,23.18,2.2,7163562
049291867-8,Prison (Fängelse) ,Zorana Gyrgorcewicx,Thriller,Meejo,23.1,2.3,12244056
439693890-X,They Might Be Giants,Kenton Staddom,Mystery,Vitz,6.62,0.3,8662904
188867254-4,Night Train to Munich,Otto Hatherleigh,Science Fiction,Eidel,37.11,4.8,17857823
343458446-3,"Unvanquished, The (Aparajito)",Bob Kittredge,Nonfiction,Brainverse,45.04,4.9,15953832
102472506-5,Genghis Blues,Colan Scamerdine,Romance,Quinu,33.13,4,19567911
524786084-5,"Thin Man Goes Home, The",Katherine Ferri,Nonfiction,Yodo,23.35,2.4,10740294
355774478-7,Celebrity,Alexandre Acklands,Romance,Mudo,41.7,3.8,14925891
778423184-9,"Changeling, The",North Hellin,Science Fiction,Thoughtbridge,26.43,5,15714135
174769480-0,"Magnificent Seven Ride!, The",Aimee Izaks,Romance,Realcube,47.24,2.6,18963114
319032952-4,"Busher, The",Daryl Belsey,Romance,Kamba,29.02,3.1,8168737
977190154-0,Sunshine,Hoebart Leyland,Fantasy,Jatri,29.49,1,4899873
975957683-X,"Hiding Place, The",Otha De Haven,Science Fiction,Shuffledrive,45.56,3,15029531
354997630-5,Vengeance is Mine (Fukushu suruwa wareniari),Fletcher Pepineaux,Fantasy,Realmix,34.79,1.8,19810046
364846866-9,Midnight Madness,Brok O'Duane,Nonfiction,Yambee,10.14,2.6,4656802
144420639-7,"Edison, the Man",Maureene Aubery,Mystery,Agimba,11.4,0.8,350485
512107300-3,The Day I Saw Your Heart,Biron Rosenfelder,Science Fiction,Miboo,10.14,0.3,5336920
654678288-X,"Green Butchers, The (Grønne slagtere, De)",Laryssa Yegorkin,Science Fiction,Realfire,31.03,0.7,14107796
705597467-4,"Earth Is a Sinful Song, The (Maa on syntinen laulu)",Basia MacTeggart,Thriller,Shuffledrive,6,2.4,5328920
367007159-8,"Modern Affair, A",Forbes MacQuarrie,Thriller,Kaymbo,36.57,4.7,4456738
364680878-0,Grand Masti,Regan Fydoe,Mystery,Lajo,48.05,2,8189221
853206456-6,"Simple-Minded Murder, The (Enfaldige mördaren, Den)",Rudolph Spight,Fantasy,Fiveclub,8.72,3.4,9526933
571999837-3,Bonhoeffer: Agent of Grace,Ame Matushenko,Thriller,Cogibox,12.17,0.5,12570777
056038111-5,Big Brown Eyes,Blake Basile,Historical,Tagpad,44.25,3.2,2162364
670377965-1,Sophie's Choice,Marlane Holdworth,Nonfiction,Camido,29.09,1.2,2477758
651259934-9,"Human Scale, The",Stevie Rottenbury,Fantasy,Edgeblab,37.38,3.2,2328460
735157254-2,Outsider,Jobi Laight,Fantasy,Twimm,6.05,0.5,8206644
